seed,week,graph_weight_mean,graph_weight_p10,graph_weight_p50,graph_weight_p90,flat_weight_mean,backlog_before,inventory_before,supply_risk,transport_risk,price_risk
101,1,0.48576387763023376,0.3008602261543274,0.48080974817276,0.6706690788269043,0.5142360925674438,0.0,38502.43522531694,0.174171458634421,0.20053455888336383,0.3692348871444227
101,2,0.48068538308143616,0.2796899676322937,0.46903538703918457,0.6766858100891113,0.5193146467208862,0.0,24646.388320852762,0.15383560187988404,0.24633627015946066,0.35509455039777266
101,3,0.47572949528694153,0.27187803387641907,0.4748381972312927,0.671282947063446,0.5242705345153809,3082.5258751561996,0.0,0.17831723480436643,0.21315719795529733,0.46328510883537194
101,4,0.4744710624217987,0.2924838364124298,0.475361704826355,0.6579698920249939,0.5255289077758789,8374.900513195284,0.0,0.21540409543946665,0.37751322706070906,0.43094980261216087
101,5,0.47299110889434814,0.28282874822616577,0.4728628098964691,0.6457643508911133,0.5270088911056519,5312.892553535936,0.0,0.14860375453441815,0.2453023412618587,0.4444508440114817
101,6,0.4738563299179077,0.2857592701911926,0.4717998802661896,0.6632457971572876,0.5261436700820923,0.0,13290.560754183578,0.2000868667810985,0.21704993612904855,0.4307193197154583
101,7,0.47367140650749207,0.28048208355903625,0.4670703411102295,0.6676650643348694,0.5263285636901855,0.0,7208.400776984701,0.1865165500253846,0.2207458835190094,0.3512226093473371
101,8,0.47398412227630615,0.28446945548057556,0.46531376242637634,0.671092689037323,0.5260158777236938,0.0,34772.58491715687,0.1571449552015902,0.21885299994448743,0.4309071738981747
101,9,0.47179579734802246,0.2800387144088745,0.4505181908607483,0.6558538675308228,0.5282042026519775,0.0,39761.68371684506,0.2024254127164328,0.23164642153977244,0.5030170803099794
101,10,0.47208380699157715,0.2832620143890381,0.4633006453514099,0.6497776508331299,0.5279161930084229,0.0,56999.01205644704,0.19722021528961567,0.23956610440290005,0.4772487627401764
101,11,0.4710139334201813,0.2847471833229065,0.4640188217163086,0.6508143544197083,0.5289860963821411,0.0,55645.79316483521,0.14856775462591634,0.2613829894446218,0.4351601872646462
101,12,0.46870097517967224,0.27409252524375916,0.47111737728118896,0.6656907200813293,0.5312989950180054,0.0,54327.143471436626,0.21611339777021155,0.2849415705180538,0.3978449049054664
101,13,0.4673783779144287,0.2800881564617157,0.4661268889904022,0.6562771201133728,0.5326216220855713,0.0,56430.61968347455,0.2804373888993396,0.31447492977043834,0.39389583149770824
101,14,0.4681478440761566,0.285822331905365,0.4690588414669037,0.6569504737854004,0.531852126121521,0.0,70715.30511784475,0.2857134865003293,0.3934600671286415,0.40966787222185325
101,15,0.4689602851867676,0.27827537059783936,0.4737381637096405,0.6403360366821289,0.5310397148132324,0.0,76726.22411374739,0.2572206830333264,0.3596807402397039,0.42909224906991433
101,16,0.46651700139045715,0.28560444712638855,0.46964097023010254,0.6425544023513794,0.5334830284118652,0.0,71110.4624073318,0.3644439032804738,0.35236287563473767,0.35888993051249096
101,17,0.47001615166664124,0.3069257140159607,0.4704071283340454,0.6386238932609558,0.5299838781356812,0.0,88114.66567734783,0.4083575839193466,0.3085053228917512,0.35259188451741635
101,18,0.47024309635162354,0.30779874324798584,0.470133900642395,0.6353347897529602,0.5297569036483765,0.0,76725.71597043241,0.21777862812136398,0.26625413142114696,0.3253882458916367
101,19,0.4714759290218353,0.31211358308792114,0.47126567363739014,0.6357043385505676,0.5285240411758423,0.0,55212.20169051699,0.20964497858338385,0.28092635439032543,0.319381516582159
101,20,0.4715123176574707,0.3081122934818268,0.4808342456817627,0.6316362619400024,0.5284876823425293,0.0,44680.253957682165,0.16414062589326556,0.2358311903967228,0.3320034173437311
101,21,0.4711998403072357,0.3095747232437134,0.4765903353691101,0.6259128451347351,0.5288001298904419,0.0,44341.89570572627,0.1632977598150624,0.24613269822124872,0.36899090843850246
101,22,0.4716761112213135,0.3129851520061493,0.47486990690231323,0.6251874566078186,0.5283238887786865,0.0,49115.837527487674,0.15049986859119213,0.26087824295269585,0.33133891395473186
101,23,0.4727899134159088,0.3171505630016327,0.47761011123657227,0.6279341578483582,0.5272101163864136,0.0,60426.27762927237,0.17555789354393916,0.2611526647538467,0.3483175067335887
101,24,0.47084975242614746,0.3015722930431366,0.48187291622161865,0.6341457962989807,0.5291502475738525,0.0,52059.20991126611,0.15167683909086896,0.2654806496314739,0.31701764044221137
101,25,0.47185802459716797,0.300591379404068,0.47365862131118774,0.633919894695282,0.528141975402832,0.0,39749.39415872155,0.33903494208018853,0.33795605185569,0.29867374818499337
101,26,0.4685876667499542,0.29466384649276733,0.47147637605667114,0.6307820677757263,0.5314123630523682,0.0,39281.44735412263,0.31843550139147464,0.4722452733412463,0.4906747438064724
101,27,0.4709102213382721,0.3046098053455353,0.46990907192230225,0.6263023018836975,0.5290898084640503,0.0,31532.340323682503,0.3256967644737728,0.4414387909906222,0.4022093212913403
101,28,0.47243037819862366,0.3204955756664276,0.47261524200439453,0.6307095885276794,0.5275696516036987,0.0,45125.42152544016,0.31365954069159085,0.3737090371854086,0.2802055045098679
101,29,0.47305765748023987,0.3088512420654297,0.47516778111457825,0.6412529349327087,0.5269423723220825,0.0,34893.03146918118,0.14978235120276873,0.2399487507419485,0.3152442509999859
101,30,0.4721445143222809,0.307035893201828,0.47232234477996826,0.6433153748512268,0.5278555154800415,0.0,30955.19245216335,0.2347185064762224,0.4030648801414575,0.2720875883909582
101,31,0.4728665351867676,0.31283262372016907,0.47391289472579956,0.6427842378616333,0.5271334648132324,0.0,21237.411296886286,0.2089571803487696,0.4729171503534421,0.33895011083030224
101,32,0.4742896854877472,0.32519423961639404,0.46568945050239563,0.6415671706199646,0.5257103443145752,0.0,17746.512853066943,0.14354956980969946,0.3101476818501061,0.5204534131410208
101,33,0.47301897406578064,0.3133980929851532,0.4681617021560669,0.6470453143119812,0.526980996131897,0.0,13462.80411843866,0.11605355998510122,0.2785158524747584,0.5569225028806689
